국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC9_코드,KSIC9_항목명,산업명,IPC_CODE
A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,1110.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,1110.0,곡물 및 기타 식량 작물 재배업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,1212.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,1212.0,육우 사육업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,1420.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,1420.0,축산 관련 서비스업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 복합농업,1300.0,A,"농업, 임업 및 어업",1.0,농업,13.0,작물재배 및 축산 복합농업,1300.0,작물재배 및 축산 복합농업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,15.0,수렵 및 관련 서비스업,1500.0,A,"농업, 임업 및 어업",1.0,농업,15.0,수렵 및 관련 서비스업,1500.0,수렵 및 관련 서비스업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",2.0,임업,20.0,임업,2011.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,2011.0,임업용 종묘 생산업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",5.0,어업,51.0,어로 어업,3112.0,A,"농업, 임업 및 어업",3.0,어업,31.0,어로 어업,3112.0,연근해 어업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",5.0,어업,52.0,양식어업 및 어업관련 서비스업,3211.0,A,"농업, 임업 및 어업",3.0,어업,32.0,양식어업 및 어업관련 서비스업,3211.0,해면 양식 어업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
B,광업,10.0,"석탄, 원유 및 천연가스 광업",101.0,석탄 광업,5100.0,B,광업,5.0,"석탄, 원유 및 천연가스 광업",51.0,석탄 광업,5100.0,석탄 광업,광업,IC = (C22B* or E21D*)
B,광업,10.0,비금속광물 광업; 연료용 제외,101.0,기타 비금속광물 광업,7290.0,B,광업,7.0,비금속광물 광업; 연료용 제외,72.0,기타 비금속광물 광업,7290.0,그 외 기타 비금속 광물 광업,광업,IC = (C22B* or E21D*)
B,광업,13.0,금속 광업,131.0,철 광업,6100.0,B,광업,6.0,금속 광업,61.0,철 광업,6100.0,철 광업,광업,IC = (C22B* or E21D*)
B,광업,13.0,금속 광업,131.0,비철금속 광업,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,6210.0,우라늄 및 토륨 광업,광업,IC = (C22B* or E21D*)
B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,7121.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,7121.0,건설용 석재 채굴업,광업,IC = (C22B* or E21D*)
B,광업,14.0,"석탄, 원유 및 천연가스 광업",142.0,원유 및 천연가스 채굴업,5200.0,B,광업,5.0,"석탄, 원유 및 천연가스 광업",52.0,원유 및 천연가스 채굴업,5200.0,원유 및 천연가스 채굴업,광업,IC = (C22B* or E21D*)
B,광업,14.0,광업 지원 서비스업,142.0,광업 지원 서비스업,8000.0,B,광업,8.0,광업 지원 서비스업,80.0,광업 지원 서비스업,8010.0,원유 및 천연가스 채굴관련 서비스업,광업,IC = (C22B* or E21D*)
C,제조업,15.0,식료품 제조업,151.0,"도축, 육류 가공 및 저장 처리업",10111.0,C,제조업,10.0,식료품 제조업,101.0,"도축, 육류 가공 및 저장 처리업",10110.0,도축업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,151.0,수산물 가공 및 저장 처리업,10212.0,C,제조업,10.0,식료품 제조업,102.0,수산물 가공 및 저장 처리업,10212.0,수산동물 건조 및 염장품 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
