,일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명,KSIC_CODE,산업명
0,1.0,11000.0,11000.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1.0,1110.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,111.0,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,,,곡물 및 기타 식량 작물 재배업,1110.0,곡물 및 기타 식량 작물 재배업,A01,농림어업
1,1.0,11000.0,11000.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1.0,1110.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,111.0,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,,,  ,1140.0,기타 작물 재배업,A01,농림어업
2,2.0,11001.0,11001.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1.0,1121.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,,,채소작물 재배업,1121.0,채소작물 재배업,A01,농림어업
3,2.0,11001.0,11001.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1.0,1121.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,,,  ,1131.0,과실작물 재배업,A01,농림어업
4,2.0,11001.0,11001.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1.0,1121.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,,,  ,1132.0,음료용 및 향신용 작물 재배업,A01,농림어업
5,3.0,11001.0,11002.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,1.0,1122.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,1,,,화훼작물 재배업,1122.0,화훼작물 재배업,A01,농림어업
6,4.0,11001.0,11003.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,1.0,1123.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,1,,,종자 및 묘목 생산업,1123.0,종자 및 묘목 생산업,A01,농림어업
7,5.0,11001.0,11004.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,1.0,1131.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,113.0,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,1,,,과실작물 재배업,1131.0,과실작물 재배업,A01,농림어업
8,6.0,11001.0,11005.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,1.0,1132.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,113.0,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,1,,,음료용 및 향신용 작물 재배업,1132.0,음료용 및 향신용 작물 재배업,A01,농림어업
9,7.0,11001.0,11006.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,기타 작물 재배업,기타 작물 재배업,1.0,1140.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,114.0,기타 작물 재배업,기타 작물 재배업,1,,,기타 작물 재배업,1140.0,기타 작물 재배업,A01,농림어업
10,8.0,11001.0,11007.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,시설작물 재배업,콩나물 재배업,1.0,1151.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,115.0,시설작물 재배업,콩나물 재배업,1,,,콩나물 재배업,1151.0,콩나물 재배업,A01,농림어업
11,9.0,11001.0,11008.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",1.0,1152.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,115.0,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",1,,,"채소, 화훼 및 과실작물 시설 재배업",1152.0,"채소, 화훼 및 과실작물 시설 재배업",A01,농림어업
12,10.0,11001.0,11009.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,110.0,시설작물 재배업,기타 시설작물 재배업,1.0,1159.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,115.0,시설작물 재배업,기타 시설작물 재배업,1,,,기타 시설작물 재배업,1159.0,기타 시설작물 재배업,A01,농림어업
