일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명
1,011000,011000,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,01110,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0111,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,,,곡물 및 기타 식량 작물 재배업,01110,곡물 및 기타 식량 작물 재배업
1,011000,011000,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,01110,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0111,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,,,  ,01140,기타 작물 재배업
2,011001,011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,01121,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,,,채소작물 재배업,01121,채소작물 재배업
2,011001,011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,01121,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,,,  ,01131,과실작물 재배업
2,011001,011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,01121,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,,,  ,01132,음료용 및 향신용 작물 재배업
3,011001,011002,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,1,01122,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,1,,,화훼작물 재배업,01122,화훼작물 재배업
4,011001,011003,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,1,01123,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,1,,,종자 및 묘목 생산업,01123,종자 및 묘목 생산업
5,011001,011004,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,1,01131,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,1,,,과실작물 재배업,01131,과실작물 재배업
6,011001,011005,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,1,01132,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,1,,,음료용 및 향신용 작물 재배업,01132,음료용 및 향신용 작물 재배업
7,011001,011006,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,기타 작물 재배업,기타 작물 재배업,1,01140,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0114,기타 작물 재배업,기타 작물 재배업,1,,,기타 작물 재배업,01140,기타 작물 재배업
8,011001,011007,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,콩나물 재배업,1,01151,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0115,시설작물 재배업,콩나물 재배업,1,,,콩나물 재배업,01151,콩나물 재배업
9,011001,011008,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",1,01152,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0115,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",1,,,"채소, 화훼 및 과실작물 시설 재배업",01152,"채소, 화훼 및 과실작물 시설 재배업"
10,011001,011009,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업,1,01159,A,"농업, 임업 및 어업",01,농업,11,작물 재배업,0115,시설작물 재배업,기타 시설작물 재배업,1,,,기타 시설작물 재배업,01159,기타 시설작물 재배업
11,012101,012101,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업,1,01212,A,"농업, 임업 및 어업",01,농업,12,축산업,0121,소 사육업,육우 사육업,1,,,육우 사육업,01212,육우 사육업
12,012102,012102,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,말 및 양 사육업,1,01291,A,"농업, 임업 및 어업",01,농업,12,축산업,0129,기타 축산업,말 및 양 사육업,1,,,말 및 양 사육업,01291,말 및 양 사육업
13,012103,012103,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,"그 외 기타 축산업(사슴, 토끼, 개)",1,01299,A,"농업, 임업 및 어업",01,농업,12,축산업,0129,기타 축산업,그 외 기타 축산업,2,,"사슴, 토끼, 개",그 외 기타 축산업,01299,그 외 기타 축산업
14,012101,012104,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업,1,01211,A,"농업, 임업 및 어업",01,농업,12,축산업,0121,소 사육업,젖소 사육업,1,,,젖소 사육업,01211,젖소 사육업
15,012201,012201,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업,1,01220,A,"농업, 임업 및 어업",01,농업,12,축산업,0122,양돈업,양돈업,1,,,양돈업,01220,양돈업
16,012202,012202,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,양계업,1,01231,A,"농업, 임업 및 어업",01,농업,12,축산업,0123,가금류 및 조류 사육업,양계업,1,,,양계업,01231,양계업
17,012203,012203,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,1,01239,A,"농업, 임업 및 어업",01,농업,12,축산업,0123,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,1,,,기타 가금류 및 조류 사육업,01239,기타 가금류 및 조류 사육업
18,012204,012204,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,기타 축산업,그 외 기타 축산업,1,01299,A,"농업, 임업 및 어업",01,농업,12,축산업,0129,기타 축산업,그 외 기타 축산업,2,1,,그 외 기타 축산업,01299,그 외 기타 축산업
19,014300,014300,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,축산 관련 서비스업,축산 관련 서비스업,1,01420,A,"농업, 임업 및 어업",01,농업,14,작물재배 및 축산 관련 서비스업,0142,축산 관련 서비스업,축산 관련 서비스업,1,,,축산 관련 서비스업,01420,축산 관련 서비스업
19,014300,014300,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,축산 관련 서비스업,축산 관련 서비스업,1,01420,A,"농업, 임업 및 어업",01,농업,14,작물재배 및 축산 관련 서비스업,0142,축산 관련 서비스업,축산 관련 서비스업,1,,,  ,73100,수의업
20,014300,014301,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 복합농업,0143,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,1,01300,A,"농업, 임업 및 어업",01,농업,13,작물재배 및 축산 복합농업,0130,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,1,,,작물재배 및 축산 복합농업,01300,작물재배 및 축산 복합농업
21,014300,014302,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,작물재배 지원 서비스업,1,01411,A,"농업, 임업 및 어업",01,농업,14,작물재배 및 축산 관련 서비스업,0141,작물재배 관련 서비스업,작물재배 지원 서비스업,1,,,작물재배 지원 서비스업,01411,작물재배 지원 서비스업
22,014300,014303,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업",1,01412,A,"농업, 임업 및 어업",01,농업,14,작물재배 및 축산 관련 서비스업,0141,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업",1,,,"농산물 건조, 선별 및 기타 수확 후 서비스업",01412,"농산물 건조, 선별 및 기타 수확 후 서비스업"
23,015000,015000,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업,1,01500,A,"농업, 임업 및 어업",01,농업,15,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업,1,,,수렵 및 관련 서비스업,01500,수렵 및 관련 서비스업
24,020100,020100,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업,1,02011,A,"농업, 임업 및 어업",02,임업,20,임업,0201,영림업,임업용 종묘 생산업,1,,,임업용 종묘 생산업,02011,임업용 종묘 생산업
25,020100,020101,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업,1,02012,A,"농업, 임업 및 어업",02,임업,20,임업,0201,영림업,육림업,1,,,육림업,02012,육림업
26,020100,020102,A,"농업, 임업 및 어업",02,임업,020,임업,0201,임산물 채취업,임산물 채취업,1,02030,A,"농업, 임업 및 어업",02,임업,20,임업,0203,임산물 채취업,임산물 채취업,1,,,임산물 채취업,02030,임산물 채취업
27,020200,020200,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,1,02020,A,"농업, 임업 및 어업",02,임업,20,임업,0202,벌목업,벌목업,1,,,벌목업,02020,벌목업
