농림어업,광업,식료품 제조업,음료제조업,담배제조업,"섬유제품 제조업
:의복제외","의복, 의복 액세서리 및 모피제품 제조업","가죽, 가방 및 신발제조업","목재 및
나무제품제조업; 가구제외","펄프, 종이 및
종이제품 제조업","인쇄 및
기록매체복제업","코크스, 연탄 및
석유정제품 제조업",기초 화학물질제조업,비료 및 질소 화학물 제조업,"합성고무 및
플라스틱 물질 제조업",살충제 및 기타농약제조업,"잉크, 페인트 코팅제 및 유사제품 제조업","세제, 화장품 및 광택제 제조업",그 외 기타 화학제품 제조업,화학섬유 제조업,의료용 물질 및 의약품 제조업,"고무제품 및
플라스틱 제품 제조업",비금속광물제품 제조업,1차 철강제조업,1차 비철금속 제조업,금속주조업,"구조용 금속제품,
탱크, 증기발생기 제조업",무기 및 총포탄 제조업,기타 금속가공 제품 제조업,반도체 제조업,전자부품 제조업,컴퓨터 및 주변장치 제조업,통신 및 방송 장비 제조업,영상 및 음향기기 제조업,마그네틱 및 광학 매체 제조업,의료용 기기 제조업,"측정, 시험, 향해, 제어, 및 기타 정밀기기 제조업","안경, 사진장비 및
기타 광학기기 제조업",시계 및 시계부품 제조업,"전동기, 발전기 및
전기변환, 공급, 제어장치 제조업",일차전지 및 축전지 제조업,절연선 및 케이블제조업,전구 및 조명장치 제조업,가정용 기기 제조업,기타 전기장비 제조업,"사무용 기계 및
장비 제조업",사무용 이외의 일반기계 제조업,특수 기계제조업,자동차 제조업,선박 제조업,철도장비 제조업,항공기 제조업,전투용 차량 제조업,모터사이클 제조업,"그 외 분류 안된
운송장비 제조업",가구 제조업,기타제품 제조업,"전기, 가스, 증기, 수도","하수, 폐기물처리, 원료재생, 환경복원","건설업, 건축기술 서비스","컴퓨터 프로그래밍, 정보서비스업"
A01B27,C22B,A21D,C12C,A24B,D04D,A41B,A43B,A44C23,B42F,B41M,C10G,C01C,C05B,C08B,A01N,C09D,A61Q,A62D,D01C,A61P,B29B,A47K,B21C,C22F,B22D,A47H,F41A,A01L,G11C,B05D,B41J2,G03H,G03B31,G11B,A61B,G01B,G02B,G04B,F99Z,H01M,H01B,B60Q,A45D,B60M,B41L,B01B,A01B(A01B27/02 제외),B60B,B60V,B60L13,B64B,F41H7,B62J,B62B,A47B,A41G,F02C,B09B,E01C,G06D
A01B02, E21D, A23B, C12F, A24D, D04G, A41C, A43C, B27D, D21C, B42D, C10L, C01D, C05C, C08F, A01P,, C09F, B01J, D01D, C07D, B29C, B24D, C21B, C25C,, B21G, F41B, A44B11, H01L, B81B, B41J27, H01P, G10L,, A61C, G01C, G02C, G04C, H02B,, H01H, F21H, A47G, C25F, B41J1, B01D, A01F, B60D, B63B, B61B, B64C,, B62K11, B62C, A47C, A44B(A44B11 제외), F03D, B09C, E01D, G06E
 A01C,, A23C, C12G, A24F, D04H, A41D, A45C, B27K, D21H,,, C01F, C05D, C08G,,, C09G, C06B, D01F, C07J, B29D, B28B, C21C, G21H(G21H1 제외),, F16T, F41C, B21D,, B81C, B41J29, H01Q, H03J,, A61D, G01D, G03D, G04D, H02J,, H01R, F21K, A47J, G08B, G03G, B04C, A01J, B60F, B63C, B61C, B64D,, B62M6, B62H, A47D, A44C(A44C23제외), H02S, B65F, E01F, G06F(G06F1 제외)
 A01D,, A23D, C12H,, D06C, A41F, B68B, B27H, D21J,,, C01G, C05F, C08J,,, C11D, C06C,, C07K, B29K, B28C, C21D,,, F17B, F41F, B21F,, B82B, B41J31, H01S, H04H,, A61F, G01F, G02F2, G04F, H02K,, H02G, F21L, A47L, G08G, G06C, B05B, A01M, B60G, B63G, B61D, B64F,, B62M7, B62K(B62K11 제외), A47F, A45B, G21H1, C02F, E02B, G06F(G06F3 제외)
 A01G,, A23F,,, D06J, A42B(A42B3 제외), B68C, B27M,,,, C07B, C05G, C08K,,, D06L, C06D,, C12N, B29L, B28D, C22C,,, F22B, F41G, B21H,, B82Y, B41J32, H03B, H04N,, A61G, G01H, G02F3, G04G, H02N,,, F21S, D06F, G10K, G06M, B23F,A21B, B60H, B63H, B61F, B64G,,, B62L,, A45F,, G21F, E02D, G06G
 A01H,, A23G,,, D06M, A42C5,, B27N,,,, C07C,, C08L,,, A61K8, C06F,, C12P, A42B3, B32B, F16S,,, F22G, F41H(F41H7 제외), B21J,, C30B, B41J33, H03C, H04R,, A61H, G01J, G02F7, G04R, H02P,,, F21V, E06C, H01T, G07B, B25D, A21C, B60J, B63J, B61G, F02K,,, B62M(B62M6 제외),, A46B,,, E03B, G06N
 A01K,, A23J,,, D06N,,, E04G,,,, C07F,,,,,,C08H ,, C12Q, B60C,C01B, F17C,,, F24D, F41J,B21K,, G02F1, B41J35, H03D,,,A61J, G01K, G03B(G03B31 제외),,,,, F21W, F24B,H02H ,G07C,B41K, A22B, B60K,, B61H, F03H,,, B62M(B62M7 제외),, A46D,,, E03C, G06Q
,, A23K,,, D06P,,,,,,, C07G,,,,,,C09H,, C12R, B65D,C03B,,,, F24H, F42C,B21L,, G12B, G06J, H03F,,,A61L, G01L, G03B(G03B42 제외),,,,, F21Y, F24C,H02M,G07D, B60S3, A22C, B60L(B60L13 제외),, B61J,,,,,, A63B,,, E03F, G06T
,, A23L,,, D06Q,,,,,,, C07H,,,,,,C09J,, A61K(A61K8 제외), B67D,C03C,,,, G21B,,B22F,, H01C, G06F1, H03G,,,A61M, G01M, G03C5,,,,, H01K, H05B,H05C,G07G, B65B, A23N, B60N,, B61K,,,,,, A63C,,, E04H, G09C
